"product_id","name","cost","price","category"
101,Teclado Mecânico RGB,120.00,180.00,Periféricos
102,Mouse Gamer 10000 DPI,50.00,100.00,Periféricos
103,"Monitor 24"" Full HD",400.00,650.00,Monitores
104,Headset Wireless,150.00,220.00,Áudio
105,Webcam 1080p,90.00,150.00,Acessórios
106,Cadeira Ergonômica,500.00,850.00,Móveis
107,Mousepad Extra Large,25.00,60.00,Acessórios
108,Suporte para Monitor,40.00,90.00,Móveis
109,Teclado Mecânico,120.00,249.90,Periféricos
110,Webcam Full HD,85.00,179.90,Periféricos
111,Headset Gamer,95.00,199.90,Áudio
112,Hub USB 3.0,35.00,79.90,Acessórios
113,Cadeira Gamer,450.00,899.90,Móveis
114,Suporte Articulado para Microfone,45.00,99.90,Acessórios
115,Microfone Condensador USB,130.00,279.90,Áudio
116,Caixa de Som Bluetooth 20W,80.00,169.90,Áudio
117,"Monitor Curved 27"" 144Hz",750.00,1299.90,Monitores
118,Luminária de Mesa LED USB,30.00,69.90,Móveis
119,Organizador de Cabos de Mesa,15.00,39.90,Acessórios
120,Filtro de Linha 8 Tomadas,25.00,59.90,Acessórios
121,Mesa Gamer Ajustável,600.00,1199.00,Móveis
122,Mouse Gamer Sem Fio,90.00,189.90,Periféricos
123,Teclado Numérico USB,20.00,49.90,Periféricos
124,Base Refrigerada para Notebook,50.00,119.90,Acessórios
125,Suporte Duplo para Monitor,70.00,159.90,Móveis
126,Adaptador Bluetooth 5.0 USB,15.00,39.90,Acessórios
127,Placa de Captura Video USB 4K,110.00,229.90,Periféricos
128,Ring Light 10 polegadas,40.00,89.90,Acessórios
129,Caixa de Som 2.1 com Subwoofer,120.00,259.90,Áudio
130,Mousepad RGB Speed Extra Grande,40.00,89.90,Acessórios
